date,state,npa_plz,longitude,latitude,total_healthy,total_sick_guess_no_corona,total_sick_guess_corona,total_sick_corona_confirmed,total_recovered_confirmed,total_recovered_not_confirmed
2020-04-05,Stockholm,16432,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16433,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16434,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16435,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16436,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16437,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16438,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16439,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16440,59.4032,17.9448,1,0,0,0,0,0
2020-04-05,Stockholm,16441,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16442,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16443,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16444,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16445,59.4032,17.9448,1,0,0,0,1,0
2020-04-05,Stockholm,16446,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16447,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16448,59.4032,17.9448,1,0,0,0,0,0
2020-04-05,Stockholm,16451,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16452,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16453,59.4032,17.9448,1,0,0,0,0,0
2020-04-05,Stockholm,16455,59.4032,17.9448,3,0,0,0,0,0
2020-04-05,Stockholm,16471,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16472,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16473,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16474,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16475,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16476,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16477,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16478,59.4032,17.9448,1,1,0,0,0,0
2020-04-05,Stockholm,16479,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16480,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,16481,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16482,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,16483,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,16484,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,16485,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,16486,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,16487,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16488,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16490,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,16491,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16492,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,16493,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16494,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16495,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16496,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16497,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16500,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16510,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16511,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16512,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16513,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16515,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16516,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16520,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16521,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16522,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16523,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16524,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16552,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16553,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16554,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16555,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16556,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16557,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16558,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16559,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16560,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16561,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16562,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16563,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16564,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16565,59.15,16.85,0,0,0,0,0,0
2020-04-05,Stockholm,16570,59.15,16.85,1,0,0,0,0,0
2020-04-05,Stockholm,16571,59.15,16.85,0,0,0,0,0,0
